,precision,recall,f1-score,support
Abusive/Offensive,0.7411167512690355,0.6070686070686071,0.6674285714285715,481.0
Normal,0.8754416961130742,0.9261682242990654,0.9000908265213442,1070.0
Religious Hate,0.7777777777777778,0.5833333333333334,0.6666666666666666,156.0
Sexism,0.5486725663716814,0.7380952380952381,0.6294416243654822,168.0
Profane,0.5970149253731343,0.625,0.6106870229007634,128.0
accuracy,0.7878182725911134,0.7878182725911134,0.7878182725911134,0.7878182725911134
macro avg,0.7080047433809407,0.6959330805592489,0.6948629423765655,2003.0
weighted avg,0.7903784359125974,0.7878182725911134,0.7848449620867098,2003.0
