,precision,recall,f1-score,support
Abusive/Offensive,0.7096774193548387,0.6860706860706861,0.6976744186046512,481.0
Normal,0.889090909090909,0.914018691588785,0.9013824884792627,1070.0
Religious Hate,0.7039473684210527,0.6858974358974359,0.6948051948051948,156.0
Sexism,0.7313432835820896,0.5833333333333334,0.6490066225165563,168.0
Profane,0.5723684210526315,0.6796875,0.6214285714285714,128.0
accuracy,0.7988017973040439,0.7988017973040439,0.7988017973040439,0.7988017973040439
macro avg,0.7212854803003043,0.7098015293780481,0.7128594591668473,2003.0
weighted avg,0.7981161909371753,0.7988017973040439,0.7973171433534186,2003.0
