,precision,recall,f1-score,support
Abusive/Offensive,0.7098121085594989,0.7068607068607069,0.7083333333333334,481.0
Normal,0.9015151515151515,0.8897196261682243,0.8955785512699906,1070.0
Religious Hate,0.6390532544378699,0.6923076923076923,0.6646153846153846,156.0
Sexism,0.6134020618556701,0.7083333333333334,0.6574585635359116,168.0
Profane,0.7238095238095238,0.59375,0.6523605150214592,128.0
accuracy,0.7963055416874688,0.7963055416874688,0.7963055416874688,0.7963055416874688
macro avg,0.7175184200355429,0.7181942717339914,0.7156692695552158,2003.0
weighted avg,0.7995168794158813,0.7963055416874688,0.7971106179675504,2003.0
