,precision,recall,f1-score,support
Abusive/Offensive,0.7467362924281984,0.5945945945945946,0.6620370370370371,481.0
Normal,0.8713298791018999,0.9429906542056075,0.9057450628366248,1070.0
Religious Hate,0.7747747747747747,0.5512820512820513,0.6441947565543071,156.0
Sexism,0.55,0.7202380952380952,0.6237113402061856,168.0
Profane,0.6564885496183206,0.671875,0.6640926640926641,128.0
accuracy,0.7928107838242636,0.7928107838242636,0.7928107838242636,0.7928107838242636
macro avg,0.7198658991846387,0.6961960790640698,0.6999561721453638,2003.0
weighted avg,0.7932094490828788,0.7928107838242636,0.7877527609740267,2003.0
