,precision,recall,f1-score,support
Abusive/Offensive,0.7673130193905817,0.5758835758835759,0.6579572446555819,481.0
Normal,0.8664921465968587,0.9280373831775701,0.8962093862815884,1070.0
Religious Hate,0.7478991596638656,0.5705128205128205,0.6472727272727272,156.0
Sexism,0.5059760956175299,0.7559523809523809,0.6062052505966588,168.0
Profane,0.6428571428571429,0.6328125,0.6377952755905512,128.0
accuracy,0.782326510234648,0.782326510234648,0.782326510234648,0.782326510234648
macro avg,0.7061075128251957,0.6926397321052694,0.6890879768794216,2003.0
weighted avg,0.7889096986732556,0.782326510234648,0.7787699954223711,2003.0
