,precision,recall,f1-score,support
Abusive/Offensive,0.7302452316076294,0.5571725571725572,0.6320754716981132,481.0
Normal,0.8588957055214724,0.9158878504672897,0.8864767073722297,1070.0
Religious Hate,0.6304347826086957,0.7435897435897436,0.6823529411764706,156.0
Sexism,0.6052631578947368,0.5476190476190477,0.575,168.0
Profane,0.5345911949685535,0.6640625,0.5923344947735192,128.0
accuracy,0.7693459810284573,0.7693459810284573,0.7693459810284573,0.7693459810284573
macro avg,0.6718860145202176,0.6856663397697277,0.6736479230040665,2003.0
weighted avg,0.7682107193612046,0.7693459810284573,0.7645652785469885,2003.0
