,precision,recall,f1-score,support
Abusive/Offensive,0.7476851851851852,0.6715176715176715,0.7075575027382256,481.0
Normal,0.9103053435114504,0.891588785046729,0.9008498583569405,1070.0
Religious Hate,0.6820809248554913,0.7564102564102564,0.7173252279635258,156.0
Sexism,0.6096256684491979,0.6785714285714286,0.6422535211267606,168.0
Profane,0.5644171779141104,0.71875,0.6323024054982818,128.0
accuracy,0.7993010484273589,0.7993010484273589,0.7993010484273589,0.7993010484273589
macro avg,0.702822859983087,0.743367628309217,0.7200577031367469,2003.0
weighted avg,0.8061559795213451,0.7993010484273589,0.8012883386292554,2003.0
