,precision,recall,f1-score,support
Abusive/Offensive,0.7112970711297071,0.7068607068607069,0.7090719499478624,481.0
Normal,0.905893536121673,0.8906542056074767,0.8982092365692743,1070.0
Religious Hate,0.6666666666666666,0.7564102564102564,0.7087087087087087,156.0
Sexism,0.6589595375722543,0.6785714285714286,0.6686217008797654,168.0
Profane,0.6666666666666666,0.640625,0.6533864541832669,128.0
accuracy,0.8022965551672492,0.8022965551672492,0.8022965551672492,0.8022965551672492
macro avg,0.7218966956313936,0.7346243194899736,0.7275996100577755,2003.0
weighted avg,0.8045324565696711,0.8022965551672492,0.8031292868177047,2003.0
